	Protein	Protein ID	Protein entry name	Gene name	Protein length	Organism	Protein Existence	Protein name	Protein Probability	Top Peptide Probability	Total peptides	Spectral count Combined	Unique spectral count Combined	Total spectral count Combined	Spectral count Ctrl_untreated_1	Spectral count Ctrl_untreated_2	Spectral count Ctrl_untreated_3	Spectral count GFP_Atg8_untreated_1	Spectral count GFP_Atg8_untreated_2	Spectral count GFP_Atg8_untreated_3	Unique spectral count Ctrl_untreated_1	Unique spectral count Ctrl_untreated_2	Unique spectral count Ctrl_untreated_3	Unique spectral count GFP_Atg8_untreated_1	Unique spectral count GFP_Atg8_untreated_2	Unique spectral count GFP_Atg8_untreated_3	Total spectral count Ctrl_untreated_1	Total spectral count Ctrl_untreated_2	Total spectral count Ctrl_untreated_3	Total spectral count GFP_Atg8_untreated_1	Total spectral count GFP_Atg8_untreated_2	Total spectral count GFP_Atg8_untreated_3	Intensity Ctrl_untreated_1	Intensity Ctrl_untreated_2	Intensity Ctrl_untreated_3	Intensity GFP_Atg8_untreated_1	Intensity GFP_Atg8_untreated_2	Intensity GFP_Atg8_untreated_3	LFQ intensity Ctrl_untreated_1	LFQ intensity Ctrl_untreated_2	LFQ intensity Ctrl_untreated_3	LFQ intensity GFP_Atg8_untreated_1	LFQ intensity GFP_Atg8_untreated_2	LFQ intensity GFP_Atg8_untreated_3	Indistinguishable Proteins	Protein reported by software	Representative protein	Potential contaminant	Leading proteins	Leading potential contaminants	Molecular weight [kDa]	Fasta header	iBAQ peptides	iBAQ intensity Ctrl_untreated_1	iBAQ intensity Ctrl_untreated_2	iBAQ intensity Ctrl_untreated_3	iBAQ intensity GFP_Atg8_untreated_1	iBAQ intensity GFP_Atg8_untreated_2	iBAQ intensity GFP_Atg8_untreated_3	Sequence coverage	Valid	Expression Ctrl_untreated_1	Expression Ctrl_untreated_2	Expression Ctrl_untreated_3	Expression GFP_Atg8_untreated_1	Expression GFP_Atg8_untreated_2	Expression GFP_Atg8_untreated_3	Missing total	Missing Ctrl_untreated	Missing GFP_Atg8_untreated	Missing Ctrl_untreated_1	Missing Ctrl_untreated_2	Missing Ctrl_untreated_3	Missing GFP_Atg8_untreated_1	Missing GFP_Atg8_untreated_2	Missing GFP_Atg8_untreated_3	Events total	Events Ctrl_untreated	Events GFP_Atg8_untreated	Expression Ctrl_untreated	Expression GFP_Atg8_untreated	P-value GFP_Atg8_untreated vs Ctrl_untreated	Adjusted p-value GFP_Atg8_untreated vs Ctrl_untreated	Average expression GFP_Atg8_untreated vs Ctrl_untreated	Ratio [log2] GFP_Atg8_untreated vs Ctrl_untreated
52	sp|P07251|ATPA_YEAST	P07251	ATPA_YEAST	ATP1	545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	ATP synthase subunit alpha, mitochondrial	0.956	0.9988	1	2	2	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	799063.9	1410125.1	2176006.0	1975500.0	2309703.8	1399648.5	0.0	0.0	0.0	0.0	0.0	0.0		P07251	P07251	False	P07251	False	58.57	sp|P07251|ATPA_YEAST ATP synthase subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP1 PE=1 SV=5	30	183543.25579330602	313883.773954518	527475.7432797155	448730.3051280533	577331.0173242494	322218.25620312453	1.8	False							6	3	3	True	True	True	True	True	True	0	0	0						
53	sp|P07260|IF4E_YEAST	P07260	IF4E_YEAST	CDC33	213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4E	1.0	0.999	5	11	11	11	0	0	3	2	5	1	0	0	3	2	5	1	0	0	3	2	5	1	15306450.0	11192703.0	44396264.0	23936902.0	48949616.0	24439850.0	4323583.5	3313516.8	11902662.0	6575995.5	13125259.0	7500723.5		P07260	P07260	False	P07260	False	24.24	sp|P07260|IF4E_YEAST Eukaryotic translation initiation factor 4E OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC33 PE=1 SV=1	12	8789646.44641514	6228539.330290723	26904742.395290356	13593031.306353213	30588480.222995862	14065970.579159578	30.0	True	22.343651051066256	22.122750104129068	23.315770319489083	22.689571679056133	23.15016399507494	22.719820471905084	0	0	0	False	False	False	False	False	False	6	3	3	22.59405715822814	22.853185382012054	0.4870544190063	0.9841555191928069	22.7236212701201	0.25912822378391454
54	sp|P07262|DHE4_YEAST	P07262	DHE4_YEAST	GDH1	454	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	NADP-specific glutamate dehydrogenase 1	1.0	0.999	6	15	15	15	1	1	2	5	4	2	1	1	2	5	4	2	1	1	2	5	4	2	3058084.2	4919465.5	15606548.0	12663018.0	18548648.0	11851313.0	1812111.2	1864690.2	5274681.0	3949031.8	5979106.0	3631020.0		P07262	P07262	False	P07262	False	49.54	sp|P07262|DHE4_YEAST NADP-specific glutamate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GDH1 PE=1 SV=2	31	679776.1455115421	1059714.075319515	3661076.6163079063	2783589.2575903353	4486838.341598972	2640323.7913713204	19.4	True	21.08909498810328	21.29332283077662	22.141641805653656	21.95386135258338	22.015819796311327	21.673165587687365	0	0	0	False	False	False	False	False	False	6	3	3	21.508019874844518	21.880948912194025	0.2869095939286644	0.9841555191928069	21.69448439351927	0.37292903734950755
55	sp|P07267|CARP_YEAST	P07267	CARP_YEAST	PEP4	405	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Saccharopepsin	1.0	0.999	7	16	16	16	2	1	4	4	2	3	2	1	4	4	2	3	2	1	4	4	2	3	10678784.0	8982847.0	19011286.0	14708596.0	18747260.0	13787490.0	5191500.5	4920440.5	10072475.0	7800469.5	9542293.0	8171329.0		P07267	P07267	False	P07267	False	44.47	sp|P07267|CARP_YEAST Saccharopepsin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PEP4 PE=1 SV=1	15	4905787.342597917	3999035.145486057	9216879.193856312	6682047.85733765	9372088.91273609	6348138.10069888	25.9	True	22.60757508035605	22.693174347933322	23.074904279508615	22.93592332778784	22.690225994049783	22.8433614510605	0	0	0	False	False	False	False	False	False	6	3	3	22.791884569266	22.823170257632707	0.8616975917088192	0.9841555191928069	22.807527413449353	0.031285688366708087
56	sp|P07280|RS19A_YEAST	P07280	RS19A_YEAST	RPS19A	144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	40S ribosomal protein S19-A	1.0	0.999	4	26	0	26	5	5	3	4	4	5	0	0	0	0	0	0	5	5	3	4	4	5	18813194.0	19557626.0	16684274.0	20927978.0	20991638.0	25012362.0	10398463.0	10553704.0	8068851.5	10594513.0	10829420.0	14043648.0	sp|P07281|RS19B_YEAST	P07280	P07280	False	P07280;P07281	False;False	15.91	sp|P07280|RS19A_YEAST 40S ribosomal protein S19-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS19A PE=1 SV=2	9	14404500.393652664	14511292.78877693	13481197.247361194	15845807.734165506	17490155.695638508	19193961.119908076	28.5	True	23.609721893000092	23.79406439082233	22.7549212984538	23.37760773476602	22.872774080825852	23.62463654696262	0	0	0	False	False	False	False	False	False	6	3	3	23.386235860758745	23.291672787518166	0.7909550362332505	0.9841555191928069	23.338954324138456	-0.09456307324057889
57	sp|P07283|PMM_YEAST	P07283	PMM_YEAST	SEC53	254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Phosphomannomutase	1.0	0.999	3	3	3	3	0	0	2	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	1001552.9	1369990.6	2340048.5	0.0	2320496.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0		P07283	P07283	False	P07283	False	29.04	sp|P07283|PMM_YEAST Phosphomannomutase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC53 PE=1 SV=1	17	405978.6047926406	538147.2722779509	1001012.7203758927	0.0	1023580.2771422836	0.0	15.7	False							6	3	3	True	True	True	True	True	True	0	0	0						
58	sp|P07284|SYSC_YEAST	P07284	SYSC_YEAST	SES1	462	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Serine--tRNA ligase, cytoplasmic	0.9974	0.999	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3337833.5	3810665.5	6002946.5	4048752.8	6468304.0	4474005.5	0.0	0.0	0.0	0.0	0.0	0.0		P07284	P07284	False	P07284	False	53.28	sp|P07284|SYSC_YEAST Serine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SES1 PE=1 SV=2	26	884645.9557999427	978723.3676192823	1679015.8032064957	1061151.8482168447	1865550.1637595154	1188435.4017783657	2.4	False							6	3	3	True	True	True	True	True	True	0	0	0						
59	sp|P07703|RPAC1_YEAST	P07703	RPAC1_YEAST	RPC40	335	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	DNA-directed RNA polymerases I and III subunit RPAC1	0.9643	0.999	1	3	3	3	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0.0	683710.44	2201059.0	903653.25	2527713.0	1040070.1	0.0	0.0	0.0	0.0	0.0	0.0		P07703	P07703	False	P07703	False	37.66	sp|P07703|RPAC1_YEAST DNA-directed RNA polymerases I and III subunit RPAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPC40 PE=1 SV=1	17	0.0	268568.9290962708	941556.5776939419	362228.414491453	1114984.1590284258	422538.3233731764	4.2	False							6	3	3	True	True	True	True	True	True	0	0	0						
60	sp|P07806|SYV_YEAST	P07806	SYV_YEAST	VAS1	1104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Valine--tRNA ligase, mitochondrial	1.0	0.999	3	11	11	11	1	1	3	2	1	3	1	1	3	2	1	3	1	1	3	2	1	3	6063807.0	6509809.0	11714824.0	11395666.0	11260365.0	6927639.0	3833534.0	4098126.8	7810731.0	7675005.5	7660959.5	4394540.0		P07806	P07806	False	P07806	False	125.69	sp|P07806|SYV_YEAST Valine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VAS1 PE=1 SV=2	63	663258.7618981944	690017.6096308209	1352255.8776188272	1232618.7900151578	1340299.2524909102	759446.3753492251	3.1	True	22.170098474492054	22.429351493445026	22.708015535264625	22.91253015161814	22.373415102903447	21.948502869694916	0	0	0	False	False	False	False	False	False	6	3	3	22.435821834400567	22.411482708072167	0.9363454522062786	0.9841555191928069	22.423652271236367	-0.02433912632839963
61	sp|P08524|ERG20_YEAST	P08524	ERG20_YEAST	ERG20	352	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Farnesyl pyrophosphate synthase	1.0	0.9989	3	8	8	8	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	3	0.0	0.0	5008293.0	1717369.8	8139529.0	1445207.2	0.0	0.0	4538539.0	0.0	6299571.0	0.0		P08524	P08524	False	P08524	False	40.46	sp|P08524|ERG20_YEAST Farnesyl pyrophosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG20 PE=1 SV=2	19	0.0	0.0	1916901.452577455	615942.0328271621	3212443.739671566	525326.0415434006	8.0	False			21.9247859145523		22.091143593112804		4	2	2	True	True	False	True	False	True	2	1	1	21.9247859145523	22.091143593112804			22.007964753832553	0.1663576785605052
62	sp|P08678|CYAA_YEAST	P08678	CYAA_YEAST	CYR1	2026	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Adenylate cyclase	0.9961	0.996	2	5	5	5	1	0	0	1	1	2	1	0	0	1	1	2	1	0	0	1	1	2	1890708.8	1499716.6	2269448.0	3532741.5	3202975.8	3261369.0	0.0	0.0	1443433.9	2207619.5	2061703.4	2034452.4		P08678	P08678	False	P08678	False	227.69	sp|P08678|CYAA_YEAST Adenylate cyclase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYR1 PE=1 SV=2	103	126492.73886061802	97230.93257847274	160231.0469742865	233724.50940037845	233188.0492299722	218683.0531972769	1.2	True	20.226186631171913	19.338630311952464	20.272063002837708	21.114853901369752	20.4797268076893	20.837431237156594	2	2	0	True	True	False	False	False	False	4	1	3	19.945626648654027	20.810670648738547	0.062053008112444304	0.9841555191928069	20.37814864869629	0.8650440000845201
63	sp|P09064|IF2B_YEAST	P09064	IF2B_YEAST	SUI3	285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 2 subunit beta	0.9641	0.999	1	3	3	3	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0.0	0.0	2861187.0	2575402.8	4817630.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		P09064	P09064	False	P09064	False	31.55	sp|P09064|IF2B_YEAST Eukaryotic translation initiation factor 2 subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUI3 PE=1 SV=2	17	0.0	0.0	1223942.40220839	1032347.3886923424	2125075.5659602634	0.0	3.9	False							6	3	3	True	True	True	True	True	True	0	0	0						
64	sp|P09232|PRTB_YEAST	P09232	PRTB_YEAST	PRB1	635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Cerevisin	1.0	0.999	2	9	9	9	2	2	1	2	1	1	2	2	1	2	1	1	2	2	1	2	1	1	23708948.0	19308232.0	38466680.0	41362188.0	41332052.0	32436092.0	14702012.0	11811859.0	23731342.0	25329810.0	25473174.0	19951306.0		P09232	P09232	False	P09232	False	69.58	sp|P09232|PRTB_YEAST Cerevisin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRB1 PE=1 SV=1	24	6807367.82651893	5372343.142240883	11655666.749369582	11744157.961278098	12914142.72971862	9334040.834434608	4.6	True	24.109365198370348	23.956551004927086	24.311279741597538	24.635126717543052	24.106796836417534	24.13120199336745	0	0	0	False	False	False	False	False	False	6	3	3	24.125731981631656	24.291041849109348	0.4180930117727258	0.9841555191928069	24.208386915370504	0.16530986747769205
65	sp|P09938|RIR2_YEAST	P09938	RIR2_YEAST	RNR2	399	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Ribonucleoside-diphosphate reductase small chain 1	0.9101	0.9973	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	641081.3	499645.03	1224936.8	851743.44	1618210.2	853105.44	0.0	0.0	0.0	0.0	0.0	0.0		P09938	P09938	False	P09938	False	46.12	sp|P09938|RIR2_YEAST Ribonucleoside-diphosphate reductase small chain 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RNR2 PE=1 SV=2	19	232507.88374181572	175606.44384711352	468839.00986535323	305481.4320601189	638662.1666269231	310099.8277716448	3.0	False							6	3	3	True	True	True	True	True	True	0	0	0						
66	sp|P0C0T4|RS25B_YEAST	P0C0T4	RS25B_YEAST	RPS25B	108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	40S ribosomal protein S25-B	1.0	0.999	2	18	0	18	3	3	3	3	3	3	0	0	0	0	0	0	3	3	3	3	3	3	78742990.0	70566510.0	77149256.0	77627100.0	89089010.0	104584690.0	45925184.0	41281972.0	46495484.0	47278940.0	56056456.0	59622612.0	sp|Q3E792|RS25A_YEAST	P0C0T4	P0C0T4	False	P0C0T4;Q3E792	False;False	12.0	sp|P0C0T4|RS25B_YEAST 40S ribosomal protein S25-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS25B PE=1 SV=1	4	135653213.29902157	117807007.72718269	140260508.76724508	132246136.17769895	167014430.9490363	180576211.29882446	20.4	True	25.752637095600555	25.761826853473487	25.28157665215971	25.53548815263702	25.24469864061504	25.710578385485604	0	0	0	False	False	False	False	False	False	6	3	3	25.598680200411252	25.496921726245887	0.6168542937844309	0.9841555191928069	25.54780096332857	-0.10175847416536499
67	sp|P0C0W1|RS22A_YEAST	P0C0W1	RS22A_YEAST	RPS22A	130	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	40S ribosomal protein S22-A	1.0	0.999	2	9	0	9	2	1	2	2	1	1	0	0	0	0	0	0	2	1	2	2	1	1	7741318.5	7468170.5	8402680.0	8557117.0	13660085.0	11612917.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q3E7Y3|RS22B_YEAST	P0C0W1	P0C0W1	False	P0C0W1;Q3E7Y3	False;False	14.62	sp|P0C0W1|RS22A_YEAST 40S ribosomal protein S22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS22A PE=1 SV=2	7	7620703.6130810715	7124406.017216283	8729380.890378848	8330269.492193192	14633399.13316848	11457653.827795094	13.8	False							6	3	3	True	True	True	True	True	True	0	0	0						
68	sp|P0C0W9|RL11A_YEAST	P0C0W9	RL11A_YEAST	RPL11A	174	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L11-A	1.0	0.999	10	55	0	55	8	7	11	9	11	9	0	0	0	0	0	0	8	7	11	9	11	9	105904560.0	91924260.0	149945100.0	127609230.0	187119890.0	141816960.0	36842510.0	31852724.0	46099300.0	42626980.0	62356324.0	50440556.0	sp|Q3E757|RL11B_YEAST	P0C0W9	P0C0W9	False	P0C0W9;Q3E757	False;False	19.71	sp|P0C0W9|RL11A_YEAST 60S ribosomal protein L11-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL11A PE=1 SV=2	9	81086830.66839221	68205612.03346743	121158371.61241171	96620482.0974537	155907605.20216435	108827355.7044936	40.2	True	25.434722946520946	25.38773171991622	25.26923089885952	25.386057310261876	25.398353984873744	25.469302984317103	0	0	0	False	False	False	False	False	False	6	3	3	25.363895188432227	25.417904759817574	0.5834122616855846	0.9841555191928069	25.3908999741249	0.05400957138534679
69	sp|P0C0X0|RS28B_YEAST	P0C0X0	RS28B_YEAST	RPS28B	67	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	40S ribosomal protein S28-B	0.9624	0.9989	1	4	0	4	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	3932893.2	2212777.8	5348842.0	4450893.5	5877861.0	5897012.5	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q3E7X9|RS28A_YEAST	P0C0X0	P0C0X0	False	P0C0X0;Q3E7X9	False;False	7.56	sp|P0C0X0|RS28B_YEAST 40S ribosomal protein S28-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS28B PE=1 SV=1	4	6775328.192920684	3694113.9838591744	9724413.936481886	7582577.062822586	11019177.450872261	10181797.882957907	13.4	False							6	3	3	True	True	True	True	True	True	0	0	0						
70	sp|P0C2H6|RL27A_YEAST	P0C2H6	RL27A_YEAST	RPL27A	136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L27-A	1.0	0.999	9	46	0	46	7	8	5	5	11	10	0	0	0	0	0	0	7	8	5	5	11	10	57785360.0	48776450.0	66219580.0	50522668.0	91558820.0	75860610.0	13405761.0	12063470.0	15200707.0	11804413.0	21595214.0	19138778.0	sp|P0C2H7|RL27B_YEAST	P0C2H6	P0C2H6	False	P0C2H6;P0C2H7	False;False	15.52	sp|P0C2H6|RL27A_YEAST 60S ribosomal protein L27-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL27A PE=1 SV=1	6	66365863.3032244	54286446.663859285	80259939.95460165	57380542.21089175	114429708.89948711	87320757.56415026	53.7	True	23.976204712665258	23.986959916243084	23.668624481214042	23.533616764384966	23.868529716545982	24.071217523428146	0	0	0	False	False	False	False	False	False	6	3	3	23.87726303670746	23.8244546681197	0.782049972442677	0.9841555191928069	23.85085885241358	-0.052808368587761834
71	sp|P0C2H8|RL31A_YEAST	P0C2H8	RL31A_YEAST	RPL31A	113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L31-A	1.0	0.999	10	154	33	154	26	24	28	25	26	25	5	6	6	5	6	5	26	24	28	25	26	25	1236629200.0	1080325000.0	1392051300.0	1225781800.0	1247926900.0	1450280200.0	303783330.0	253739780.0	312681860.0	269794560.0	287823170.0	367786460.0		P0C2H8	P0C2H8	False	P0C2H8	False	12.95	sp|P0C2H8|RL31A_YEAST 60S ribosomal protein L31-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL31A PE=1 SV=1	7	1217361695.2308002	1030596975.5978632	1446175031.8525794	1193286562.8255002	1336844713.390702	1430890144.5610464	64.6	True	28.478322393603662	28.381592775143666	28.03110967452736	28.048079815869247	27.60492893316315	28.33551526894111	0	0	0	False	False	False	False	False	False	6	3	3	28.297008281091564	27.996174672657833	0.23485474269849382	0.9841555191928069	28.146591476874697	-0.30083360843373086
72	sp|P0C2H9|RL31B_YEAST	P0C2H9	RL31B_YEAST	RPL31B	113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L31-B	0.9999	0.9987	9	14	14	135	3	3	2	3	1	2	3	3	2	3	1	2	24	21	24	23	21	22	5827587.5	3503056.5	3730354.0	4638997.5	3313945.0	5049206.0	0.0	0.0	0.0	0.0	0.0	0.0		P0C2H9	P0C2H9	False	P0C2H9	False	12.96	sp|P0C2H9|RL31B_YEAST 60S ribosomal protein L31-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL31B PE=1 SV=1	7	5736789.813879391	3341808.6541072694	3875392.246515195	4516018.5782910865	3550071.605730712	4981698.780179515	8.0	False							6	3	3	True	True	True	True	True	True	0	0	0						
73	sp|P0CH08|RL40A_YEAST	P0CH08	RL40A_YEAST	RPL40A	128	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Ubiquitin-60S ribosomal protein L40	1.0	0.999	2	9	0	15	1	1	2	1	2	2	0	0	0	0	0	0	2	2	3	2	3	3	785145.0	459145.16	938748.06	882432.4	1216973.1	3396536.0	459041.4	0.0	0.0	0.0	0.0	2135609.8	sp|P0CH09|RL40B_YEAST	P0CH08	P0CH08	False	P0CH08;P0CH09	False;False	14.54	sp|P0CH08|RL40A_YEAST Ubiquitin-60S ribosomal protein L40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL40A PE=1 SV=1	6	901730.5722973798	511012.1634376659	1137788.2935545468	1002212.5034342709	1520966.2768863384	3909645.55404852	7.8	False	19.10811967750247					20.90743878547335	4	2	2	False	True	True	True	True	False	2	1	1	19.10811967750247	20.90743878547335			20.00777923148791	1.7993191079708808
74	sp|P0CS90|HSP77_YEAST	P0CS90	HSP77_YEAST	SSC1	654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Import motor subunit, mitochondrial	1.0	0.999	9	22	15	22	5	3	3	2	6	3	3	2	2	1	5	2	5	3	3	2	6	3	14053501.0	12612279.0	22833720.0	18413446.0	30128882.0	20037560.0	3200794.0	2730236.2	5215253.0	4121243.0	7360881.5	4905967.0		P0CS90	P0CS90	False	P0CS90	False	70.58	sp|P0CS90|HSP77_YEAST Import motor subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSC1 PE=1 SV=1	31	3123927.961408846	2716841.8150623753	5356469.4995537875	4047650.448006923	7288047.244581443	4464116.877938361	15.6	True	21.90985332860025	21.843412637959705	22.125295201729614	22.01544189873871	22.315768554616945	22.107328240663396	0	0	0	False	False	False	False	False	False	6	3	3	21.959520389429855	22.146179564673016	0.3004392013907667	0.9841555191928069	22.052849977051437	0.186659175243161
75	sp|P0CX23|RL20A_YEAST	P0CX23	RL20A_YEAST	RPL20A	172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L20-A	1.0	0.999	10	61	0	61	8	8	13	8	14	10	0	0	0	0	0	0	8	8	13	8	14	10	124900470.0	105083710.0	182697840.0	130141250.0	248344450.0	150967310.0	26200016.0	21889584.0	39702584.0	27884488.0	51439290.0	31565842.0	sp|P0CX24|RL20B_YEAST	P0CX23	P0CX23	False	P0CX23;P0CX24	False;False	20.42	sp|P0CX23|RL20A_YEAST 60S ribosomal protein L20-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL20A PE=1 SV=1	8	107585132.9626805	87715811.90547062	166076079.78148705	110854826.92150012	232784644.23446503	130330284.81403509	48.8	True	24.942919286868698	24.846559502036094	25.053718961483312	24.773753243399785	25.120688833141894	24.793083040558137	0	0	0	False	False	False	False	False	False	6	3	3	24.9477325834627	24.89584170569994	0.7146551691671482	0.9841555191928069	24.92178714458132	-0.05189087776275869
76	sp|P0CX25|RL43A_YEAST	P0CX25	RL43A_YEAST	RPL43A	92	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L43-A	1.0	0.999	3	27	0	27	4	5	5	5	4	4	0	0	0	0	0	0	4	5	5	5	4	4	5885085.0	7123316.0	9562714.0	5042071.0	7651446.0	12405582.0	3052451.2	2870997.8	3810620.0	2610518.0	3970798.2	4894185.0	sp|P0CX26|RL43B_YEAST	P0CX25	P0CX25	False	P0CX25;P0CX26	False;False	10.08	sp|P0CX25|RL43A_YEAST 60S ribosomal protein L43-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL43A PE=1 SV=1	4	10138435.063081454	11891994.41853032	17385405.905089445	8589711.686815903	14344102.596125828	21419511.751833785	25.0	True	21.84139172999649	21.91593909505899	21.67258370780661	21.35669847364939	21.425319052004795	22.10385934729092	0	0	0	False	False	False	False	False	False	6	3	3	21.80997151095403	21.628625624315035	0.4995441507025552	0.9841555191928069	21.71929856763453	-0.18134588663899365
77	sp|P0CX27|RL44A_YEAST	P0CX27	RL44A_YEAST	RPL42A	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L42-A	0.7568	0.9914	1	5	0	5	1	1	1	2	0	0	0	0	0	0	0	0	1	1	1	2	0	0	12687043.0	8972751.0	15080795.0	10280022.0	16264442.0	13435202.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0CX28|RL44B_YEAST	P0CX27	P0CX27	False	P0CX27;P0CX28	False;False	12.2	sp|P0CX27|RL44A_YEAST 60S ribosomal protein L42-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL42A PE=1 SV=1	3	29141864.35665123	19972702.752643544	36556671.03801192	23350834.76984612	40654420.04325944	30929675.273304205	7.5	False							6	3	3	True	True	True	True	True	True	0	0	0						
